model,dataset,epochs,layers,lambd,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.0001,512,0.4,0.4,False,0.815800029039383
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.5,False,0.7628000438213348
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.5,False,0.7804000377655029
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.01,512,0.4,0.5,False,0.7898000359535218
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.5,False,0.7884000360965728
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.5,False,0.8054000437259674
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.01,0.0001,512,0.4,0.5,False,0.8138000428676605
CCA-SSG,Cora,20,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.5,False,0.7460000276565552
CCA-SSG,Cora,50,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.5,False,0.7840000331401825
CCA-SSG,Cora,100,2,0.001,0.001,0.0,0.005,0.01,512,0.4,0.5,False,0.7888000428676605
